ProductID,Timestamp,BaseCost,AgentPrice,CompetitorPrice,Quantity,Demand,PriceChange,NormalizedPrice,DescEmbed1,DescEmbed2,FourierFeature1,FourierFeature2,Reward
0,2025-06-21 17:59:21.658842,749.45,2666.88,2436.11,1,0.858,-0.0804,0.889,0.3,0.768,0.1798,-0.9837,1917.43
0,2025-06-25 17:59:21.674185,749.45,2586.93,2842.74,1,1.46,-0.0811,0.862,0.3,0.768,0.1117,-0.9937,1837.48
0,2025-06-26 17:59:21.674185,749.45,2703.88,3112.76,1,1.5,0.0452,0.901,0.3,0.768,0.0945,-0.9955,1954.43
0,2025-06-28 17:59:21.674185,749.45,2536.83,2356.45,4,1.39,-0.0071,0.846,0.3,0.768,0.0602,-0.9982,7149.54
0,2025-06-30 17:59:21.674185,749.45,2594.82,3000.8,1,1.5,0.0039,0.865,0.3,0.768,0.0258,-0.9997,1845.37
0,2025-07-01 17:59:21.674185,749.45,2400.14,2338.27,1,1.372,-0.075,0.8,0.3,0.768,0.0086,-1.0,1650.69
0,2025-07-06 17:59:21.676200,749.45,2282.43,2764.35,1,1.5,-0.0374,0.761,0.3,0.768,-0.0774,-0.997,1532.98
0,2025-07-07 17:59:21.676200,749.45,2268.68,3144.54,4,1.5,-0.006,0.756,0.3,0.768,-0.0945,-0.9955,6076.94
0,2025-07-10 17:59:21.676200,749.45,2191.03,2663.08,3,1.5,-0.0042,0.73,0.3,0.768,-0.1458,-0.9893,4324.75
0,2025-07-12 17:59:21.676200,749.45,2051.36,2320.73,3,1.5,-0.054,0.684,0.3,0.768,-0.1798,-0.9837,3905.74
0,2025-07-14 17:59:21.676200,749.45,2010.47,2788.6,2,1.5,-0.0006,0.67,0.3,0.768,-0.2135,-0.9769,2522.05
0,2025-07-15 17:59:21.676200,749.45,1974.95,3477.57,4,1.5,-0.0177,0.658,0.3,0.768,-0.2303,-0.9731,4902.0
0,2025-07-16 17:59:21.676200,749.45,1958.02,3007.7,6,1.5,-0.0086,0.653,0.3,0.768,-0.247,-0.969,7251.41
0,2025-07-17 17:59:21.676200,749.45,2019.86,2909.67,3,1.5,0.0316,0.673,0.3,0.768,-0.2637,-0.9646,3811.25
0,2025-07-18 17:59:21.676200,749.45,2008.27,2431.7,4,1.5,-0.0057,0.669,0.3,0.768,-0.2802,-0.9599,5035.3
0,2025-07-24 17:59:21.676200,749.45,2083.49,2752.0,2,1.5,-0.0394,0.694,0.3,0.768,-0.3777,-0.9259,2668.09
0,2025-07-25 17:59:21.676200,749.45,1972.65,2341.1,4,1.5,-0.0532,0.658,0.3,0.768,-0.3936,-0.9193,4892.79
0,2025-07-27 17:59:21.676200,749.45,2003.87,2884.78,4,1.5,-0.0056,0.668,0.3,0.768,-0.425,-0.9052,5017.68
0,2025-07-28 17:59:21.676200,749.45,2002.94,2983.69,5,1.5,-0.0005,0.668,0.3,0.768,-0.4405,-0.8977,6267.45
0,2025-07-29 17:59:21.676200,749.45,1985.52,3457.38,2,1.5,-0.0087,0.662,0.3,0.768,-0.4559,-0.89,2472.14
0,2025-07-30 17:59:21.676200,749.45,1894.36,2778.0,2,1.5,-0.0459,0.631,0.3,0.768,-0.4712,-0.882,2289.83
0,2025-07-31 17:59:21.678209,749.45,1928.45,2478.62,2,1.5,0.018,0.643,0.3,0.768,-0.4863,-0.8738,2357.99
0,2025-08-03 17:59:21.678209,749.45,1778.46,2700.81,1,1.5,0.006,0.593,0.3,0.768,-0.5307,-0.8475,1029.01
0,2025-08-06 17:59:21.678209,749.45,1742.38,2545.62,3,1.5,0.0666,0.581,0.3,0.768,-0.5738,-0.819,2978.8
0,2025-08-07 17:59:21.678209,749.45,1853.41,2782.79,1,1.5,0.0637,0.618,0.3,0.768,-0.5878,-0.809,1103.96
0,2025-08-09 17:59:21.678209,749.45,1802.76,2833.29,5,1.5,-0.0128,0.601,0.3,0.768,-0.6153,-0.7883,5266.58
0,2025-08-10 17:59:21.678209,749.45,1717.42,2375.48,1,1.5,-0.0473,0.572,0.3,0.768,-0.6288,-0.7776,967.97
0,2025-08-11 17:59:21.678209,749.45,1765.44,2429.36,2,1.5,0.028,0.588,0.3,0.768,-0.6421,-0.7667,2031.99
0,2025-08-12 17:59:21.678209,749.45,1742.53,3421.2,8,1.5,-0.013,0.581,0.3,0.768,-0.6552,-0.7555,7944.68
0,2025-08-13 17:59:21.678209,749.45,1794.75,3249.28,5,1.5,0.03,0.598,0.3,0.768,-0.6681,-0.7441,5226.49
0,2025-08-14 17:59:21.678209,749.45,1755.62,2637.94,3,1.5,-0.0218,0.585,0.3,0.768,-0.6808,-0.7325,3018.51
0,2025-08-15 17:59:21.678209,749.45,1668.66,3110.84,3,1.5,-0.0495,0.556,0.3,0.768,-0.6933,-0.7207,2757.65
0,2025-08-16 17:59:21.678209,749.45,1672.05,2804.97,3,1.5,0.002,0.557,0.3,0.768,-0.7056,-0.7086,2767.81
0,2025-08-18 17:59:21.678209,749.45,1821.59,2596.92,3,1.5,0.0458,0.607,0.3,0.768,-0.7296,-0.6839,3216.42
0,2025-08-20 17:59:21.678209,749.45,1787.01,2879.88,2,1.5,-0.0341,0.596,0.3,0.768,-0.7527,-0.6584,2075.12
0,2025-08-24 17:59:21.678209,749.45,1742.43,3292.82,2,1.5,-0.0576,0.581,0.3,0.768,-0.7962,-0.6051,1985.96
0,2025-08-26 17:59:21.680219,749.45,1829.88,2594.7,4,1.5,0.0074,0.61,0.3,0.768,-0.8165,-0.5773,4321.75
0,2025-08-27 17:59:21.680219,749.45,1713.76,2703.24,6,1.5,-0.0635,0.571,0.3,0.768,-0.8264,-0.5632,5785.89
0,2025-08-29 17:59:21.680219,749.45,1530.09,2826.31,4,1.5,-0.0759,0.51,0.3,0.768,-0.8452,-0.5344,3122.56
0,2025-09-01 17:59:21.680219,749.45,1563.59,3432.29,1,1.5,-0.0057,0.521,0.3,0.768,-0.8717,-0.49,814.14
0,2025-09-02 17:59:21.680219,749.45,1479.0,3070.51,2,1.5,-0.0541,0.493,0.3,0.768,-0.88,-0.475,1459.1
0,2025-09-05 17:59:21.680219,749.45,1363.11,3386.43,5,1.5,-0.0493,0.454,0.3,0.768,-0.9034,-0.4289,3068.29
0,2025-09-06 17:59:21.680219,749.45,1325.26,3282.01,1,1.5,-0.0278,0.442,0.3,0.768,-0.9106,-0.4133,575.81
0,2025-09-09 17:59:21.680219,749.45,1386.9,2758.46,1,1.5,-0.0296,0.462,0.3,0.768,-0.9307,-0.3657,637.45
0,2025-09-11 17:59:21.680219,749.45,1167.05,2677.17,8,1.5,-0.0225,0.389,0.3,0.768,-0.9428,-0.3335,3340.78
0,2025-09-12 17:59:21.680219,749.45,1183.86,2425.7,4,1.5,0.0144,0.395,0.3,0.768,-0.9484,-0.3172,1737.65
0,2025-09-13 17:59:21.680219,749.45,1205.68,2853.0,1,1.5,0.0184,0.402,0.3,0.768,-0.9537,-0.3008,456.23
0,2025-09-18 17:59:21.680219,749.45,1038.85,3018.41,1,1.5,0.0246,0.346,0.3,0.768,-0.976,-0.2177,289.4
0,2025-09-20 17:59:21.680219,749.45,903.39,2469.49,3,1.5,-0.0487,0.301,0.3,0.768,-0.9829,-0.184,461.83
